Abaixo está a representação em formato CSV com todas as perguntas e respostas organizadas corretamente:

```csv
Pergunta,Resposta
"Você se tornou o rei das Ilhas Canárias?","Bethencourt"
"Quem comprou os direitos?","Enrique Pérez de Guzmán"
"Onde estão Jersey e Guernsey?","Ilhas do Canal."
"Qual é a peça mais conhecida da arte normanda?","tapeçaria de Bayeux"
"Na Grã-Bretanha, a arte normanda sobrevive principalmente como trabalho em pedra ou metal, como maiúsculas e fontes batismais. No sul da Itália, no entanto, as obras de arte normandas sobrevivem abundantemente sob formas fortemente influenciadas por seus antepassados gregos, lombardos e árabes. Dos trajes reais preservados em Palermo, a coroa é de estilo bizantino e a capa da coroação é de artesanato árabe com inscrições em árabe. Muitas igrejas preservam fontes esculpidas, capitéis e, mais importante, mosaicos, que eram comuns na Itália normanda e se baseavam fortemente na herança grega. Lombard Salerno era um centro de trabalho de marfim no século 11 e isso continuou sob o domínio normando. Por fim, deve-se notar a relação entre cruzados franceses que viajam para a Terra Santa, que trouxeram consigo artefatos franceses para presentear as igrejas nas quais pararam no sul da Itália entre seus primos normandos. Por esse motivo, muitas igrejas do sul da Itália preservam obras da França juntamente com suas peças nativas. Qual é o tipo mais importante de arte normanda preservada nas igrejas?","mosaicos"
"Em Saint Evroul, uma tradição de canto se desenvolveu e o coro alcançou fama na Normandia. Sob o abade normando Robert de Grantmesnil, vários monges de Saint-Evroul fugiram para o sul da Itália, onde foram apadrinhados por Robert Guiscard e estabeleceram um mosteiro latino em Sant'Eufemia. Lá eles continuaram a tradição de cantar. Para onde os monges fugiram?","sul da Itália"
"A Normandia foi o local de vários desenvolvimentos importantes na história da música clássica no século XI. A Abadia de Fécamp e a Abadia de Saint-Evroul eram centros de produção e educação musical. Na Fécamp, sob dois abades italianos, William de Volpiano e John de Ravenna, o sistema de denotar notas por letras foi desenvolvido e ensinado. Ainda é a forma mais comum de representação de afinação nos países de língua inglesa e alemã atualmente. Também na Fécamp, a equipe, em torno da qual os neumes eram orientados, foi desenvolvida e ensinada no século 11. Sob o abade alemão Isembard, La Trinité-du-Mont tornou-se um centro de composição musical. Em que século ocorreram importantes desenvolvimentos da música clássica na Normandia?","sécculo XI"
"Na Inglaterra, o período da arquitetura normanda imediatamente sucede ao do anglo-saxão e precede o início do gótico. No sul da Itália, os normandos incorporaram elementos das técnicas de construção islâmica, lombarda e bizantina, criando um estilo único conhecido como arquitetura árabe-normanda no Reino da Sicília. Que lugar tinha o estilo arquitetônico árabe normando?","Sicília."
"Na Inglaterra, o período da arquitetura normanda imediatamente sucede ao do anglo-saxão e precede o início do gótico. No sul da Itália, os normandos incorporaram elementos das técnicas de construção islâmica, lombarda e bizantina, criando um estilo único conhecido como arquitetura árabe-normanda no Reino da Sicília. Que tipo de arquitetura veio antes de Norman na Inglaterra?","nglo-saxão"
"A lei consuetudinária da Normandia foi desenvolvida entre os séculos 10 e 13 e sobrevive hoje através dos sistemas legais de Jersey e Guernsey nas Ilhas do Canal. O direito consuetudinário normando foi transcrito em dois consuetudinários em latim por dois juízes para uso por eles e seus colegas: Estes são os Très ancien coutumier (Consumo muito antigo), de autoria entre 1200 e 1245; e o Grande Costureiro da Normandia (Grande costume da Normandia, originalmente Summa de legibus Normanniae na curia laïcali), de autoria entre 1235 e 1245. Quantos costumes tem o direito costumeiro normando?","dois"
"Quem vendeu os direitos?","Maciot de Bethencourt"
"A arquitetura normanda normalmente se destaca como uma nova etapa na história arquitetônica das regiões que eles subjugaram. Eles espalharam um idioma românico único para a Inglaterra e a Itália, e o encastelamento dessas regiões com vestígios em seu estilo do norte da França alterou fundamentalmente a paisagem militar. Seu estilo era caracterizado por arcos arredondados, principalmente sobre janelas e portas, e proporções enormes. Qual é o idioma da arquitetura normanda?","românico"
"A igreja foi utilizada pelos duques como uma força unificadora para seu ducado díspar. Os principais mosteiros que participavam desse 'renascimento' da arte e dos estudos normandos eram Mont-Saint-Michel, Fécamp, Jumièges, Bec, Saint-Ouen, Saint-Evroul e Saint-Wandrille. Esses centros estavam em contato com a chamada 'escola Winchester', que canalizou uma pura tradição artística carolíngia para a Normandia. Na década final do 11 e início do século 12, a Normandia experimentou uma era de ouro de manuscritos ilustrados, mas foi breve e a maior parte da scriptoria da Normandia deixou de funcionar após o meio do século. Quando a reforma da igreja começou?","início do século"
