Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
qual é o objetivo principal do sistema imunitário?,proteger o organismo de patógenos,2.22222,4.37319,1.0,0.800,0.8,3.43523,1.0,0.667
quais são os agentes que o sistema imunitário detecta?,patógenos,1.8,4.61384,1.0,0.400,0.0,1.0,1.0,0.000
qual é o mecanismo primário de defesa do sistema imunitário?,fagocitose e defensinas,2.09091,4.82961,1.0,0.333,0.66667,2.50045,1.0,0.000
qual é a principal differência entre o sistema imunológico adaptativo e inativo?,adaptativo é memabilizado pela experiência,1.84615,5.20226,1.0,0.286,1.0,3.43523,1.0,0.250
qual é o termo para o processos de um indivíduo ser exposto a patógenos por primeira vez?,primeira geração,2.38889,6.00792,0.94118,0.556,0.5,1.85566,1.0,0.500
qual é o nome do sistema imunológico que responsavel por recaudear e organizar as defensas imunitárias?,sistema imunológico,2.29412,5.78178,1.0,0.333,0.5,1.85566,1.0,0.500
qual é o termo para os mecanismos que permitem a imunidade adaptativa reconhecimento de agentes patogénicos específicos?,Memória imunitária,1.88889,5.90165,1.0,0.200,0.5,1.85566,1.0,0.000
qual é a principal responsabilidade do sistema imunitário em humanos em contraposição a outros animais?,proteger o cérebro,3.1875,5.89204,0.86667,0.375,0.66667,2.50045,1.0,1.000
qual é o efeito do estresse no sistema imunológico humano?,diminuição da capacidade de defesa,2.90909,4.82961,1.0,0.500,0.8,3.43523,1.0,0.667
qual é a classificação do sistema imunológico que representa um equilíbrio baixo de atividade?,imunodeficiência,2.26667,5.51466,1.0,0.750,0.0,1.0,1.0,0.000
qual é o termo para a imunidade excessiva que ataca os tecidos normais como se fosse patógenos?,autoimunidade,2.55556,5.90165,1.0,0.111,0.0,1.0,1.0,0.000
qual é o sistema imunológico que liga à部队a da imunização adquirida?,memória imunitária,2.5,5.02467,1.0,0.286,0.5,1.85566,1.0,0.500
qual é o nome do sistema imunológico que responsavel por detectar e neutralizar micróbios menores que as células de defensas superiores?,systema imunológico inato,2.72727,6.40552,0.95238,0.250,1.0,2.50045,1.0,0.000
qual é o termo para os mecanismos de defesa imunitária que incluem enzimas e fagocitose designados defensinas?,fagocitose e defensinas,2.33333,5.90165,1.0,0.100,0.66667,2.50045,1.0,0.000
qual é o nome do sistema imunológico que responsavel por ação direta sobre as células invadidas?,systema imunológico adaptativo,2.23529,5.78178,1.0,0.333,1.0,2.50045,1.0,0.000
qual é o termo para os mecanismos que permitem a imunidade adaptativa reconhecimento de agentes patogénicos específicos?,Memória imunitária,1.88889,5.90165,1.0,0.200,0.5,1.85566,1.0,0.000
qual é o efeito da imunodeficiência em humanos em termos de resistência aos patógenos?,diminuição de resistência,2.26667,5.63172,0.92857,0.333,0.66667,2.50045,1.0,1.000
qual é o termo para os mecanismos que permitem a defesa do sistema imunitário contra danos externos?,fagocitose e defensinas,2.55556,5.90165,1.0,0.222,0.66667,2.50045,1.0,0.000
qual é o nome da部队a do sistema imunológico que responsavel por memória imunitária?,memória imunitária,2.42857,5.36491,1.0,0.375,0.5,1.85566,1.0,0.500
qual é a relação entre os agentes patogénicos e os mecanismos de defesa do sistema imunitário?,agentes patogénicos são identificados e neutralizados por mecanismos de defesa imunitária,2.0,5.89142,0.9375,0.250,1.09091,5.02467,1.0,0.125
qual é o termo para os mecanismos que permitem a imunidade adaptativa reconhecimento de agentes patogénicos específicos após o indivíduo ter sido exposto anteriormente?,Memória imunitária,2.76,6.64869,0.95833,0.267,0.5,1.85566,1.0,0.000
qual é o nome do sistema imunológico que responsavel por recaudear e organizar as defensas imunitárias em resposta a atacantes patogénicos?,sistema imunológico,3.04545,6.31084,1.0,0.333,0.5,1.85566,1.0,0.500
qual é o termo para os mecanismos de defesa imunitária que permitem a memória imunitária armazenar informações sobre agentes patogénicos específicos?,Memória imunitária,2.63636,6.40552,0.95238,0.231,0.5,1.85566,1.0,0.000
qual é o efeito da imunodeficiência em humanos em termos de resistência a infeções?,diminuição de resistência,3.0,5.63172,0.92857,0.333,0.66667,2.50045,1.0,1.000
qual é o nome do sistema imunológico que responsavel por ação direta sobre as células invadidas?,systema imunológico adaptativo,2.23529,5.78178,1.0,0.333,1.0,2.50045,1.0,0.000
qual é o termo para os mecanismos que permitem a imunidade adaptativa reconhecimento de agentes patogénicos específicos após o indivíduo ter sido exposto anteriormente?,Memória imunitária,2.76,6.64869,0.95833,0.267,0.5,1.85566,1.0,0.000
qual é o nome do sistema imunológico que responsavel por recaudear e organizar as defensas imunitárias em resposta a atacantes patogénicos?,sistema imunológico,3.04545,6.31084,1.0,0.333,0.5,1.85566,1.0,0.500
qual é a relação entre os agentes patogénicos e os mecanismos de defesa do sistema imunitário?,agentes patogénicos são identificados e neutralizados por mecanismos de defesa imunitária,2.0,5.89142,0.9375,0.250,1.09091,5.02467,1.0,0.125
qual é o termo para os mecanismos que permitem a imunidade adaptativa reconhecimento de agentes patogénicos específicos após o indivíduo ter sido exposto anteriormente?,Memória imunitária,2.76,6.64869,0.95833,0.267,0.5,1.85566,1.0,0.000
qual é o nome do sistema imunológico que responsavel por recaudear e organizar as defensas imunitárias em resposta a atacantes patogénicos?,sistema imunológico,3.04545,6.31084,1.0,0.333,0.5,1.85566,1.0,0.500
qual é o termo para os mecanismos de defesa imunitária que permitem a memória imunitária armazenar informações sobre agentes patogénicos específicos?,Memória imunitária,2.63636,6.40552,0.95238,0.231,0.5,1.85566,1.0,0.000
qual é o efeito da imunodeficiência em humanos em termos de resistência a infeções?,diminuição de resistência,3.0,5.63172,0.92857,0.333,0.66667,2.50045,1.0,1.000
qual é o nome do sistema imunológico que responsavel por ação direta sobre as células invadidas?,systema imunológico adaptativo,2.23529,5.78178,1.0,0.333,1.0,2.50045,1.0,0.000
qual é o termo para os mecanismos que permitem a imunidade adaptativa reconhecimento de agentes patogénicos específicos após o indivíduo ter sido exposto anteriormente?,Memória imunitária,2.76,6.64869,0.95833,0.267,0.5,1.85566,1.0,0.000
