pergunta;resposta
O Império é um território governado por um soberano ou oligarquia;True
A estrutura imperial inclui periferias subordinadas controladas pelo centro;True
Os impérios usam a diversidade cultural e étnica para governar;True
O conceito de imperialism abrange diferentes tipos de governo, como monarcas e ditadores;True
O Império Romano é citado como exemplo de uso do termo imperium;True
Existem imagens históricas representando impérios em contextos antigos;True
O imperialismo está motivado por fatores econômicos e políticos;True
A página wiki sobre Imperialism usa vários modelos, incluindo Template:ISBN;True
Wolfgang Mommsen é um exemplo de acadêmico que trabalhou na disciplina de Imperialismo;True
Os crimes de guerra japoneses são exemplos de motivação imperialista;True
