Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual é o objetivo principal da farmácia?,garantir o uso seguro,1.75,4.10211,1.0,1.000,0.75,3.01273,1.0,1.333
Quais são os papéis tradicionais dos farmacêuticos?,preparação e distribuição de medicamentos,1.75,4.10211,1.0,0.250,0.8,3.43523,1.0,0.667
O que caracteriza a farmácia como ciência?,liga ciências da saúde com ciências farmacêuticas e naturais,2.125,4.10211,1.0,0.667,1.0,4.75438,0.88889,0.333
Quais são as duas classificações principais de prática farmacêutica?,farmácia comunitária e institucional,1.8,4.61384,1.0,0.400,0.75,3.01273,1.0,0.333
Qual é o papel dos farmacêuticos em saúde?,especialistas em terapia medicamentosa,2.33333,4.37319,1.0,0.500,0.75,3.01273,1.0,0.000
O que é o precursor da farmácia moderna?,o boticário,2.0,4.51932,0.875,0.250,0.5,1.85566,1.0,0.000
O que inclui a prática farmacêutica moderna?,serviços clínicos e revisão de medicamentos,2.25,4.10211,1.0,0.250,1.0,3.79304,1.0,0.000
Qual é a diferença entre farmácia nos EUA e Reino Unido?,farmácia vs. químicos,2.0,5.02467,1.0,0.333,1.0,2.50045,1.0,0.333
O que os farmacêuticos buscam com seus pacientes?,otimizar o uso de medicamentos,1.77778,4.37319,1.0,0.000,0.8,3.43523,1.0,0.333
Quais são as atividades tradicionais e modernas dos farmacêuticos?,compostagem e serviços clínicos,2.0,4.61384,1.0,0.200,0.75,3.01273,1.0,0.000
