pergunta;resposta
Qual é o principal índice utilizado para medir a desigualdade econômica?;Coeficiente de Gini
Qual é o efeito da globalização sobre a desigualdade entre países?;Reduziu a desigualdade global entre nações
Qual conceito está relacionado à distribuição justa de recursos com base nas necessidades individuais?;Equidade
Qual autor está associado ao estudo da desigualdade econômica e também mencionado no contexto?;Branko Milanović
Qual é o impacto da desigualdade na duração do crescimento econômico?;Dificulta a duração do crescimento
Qual movimento social mencionado no contexto tem como causa principal a desigualdade econômica?;Occupy Wall Street
Qual é o nome do índice que leva em conta a desigualdade no cálculo do desenvolvimento humano?;Índice de Desenvolvimento Humano Ajustado pela Desigualdade
Qual é a relação entre a desigualdade e a globalização dentro dos países?;Aumentou a desigualdade dentro dos países
Qual é o tipo de desigualdade que se refere à posse de riqueza por diferentes grupos?;Distribuição de riqueza
Qual é o nome do livro mencionado que trata de desigualdade econômica?;Capital in the Twenty-First Century
