pergunta;resposta
O que é a rocha sedimentar?;Rocha sedimentar é composta por fragmentos de outras rochas, entulhos ou organismos secundariamente depositados em uma camada sobre outra.
Qual é o processo pelo qual as placas tectônicas se movem?;O movimento das placas tectônicas ocorre principalmente devido à diferenciação térmica e a convecções do núcleo da Terra.
Quais são os três tipos básicos de rochas formadas pelo processo de metamorfose?;Os três tipos básicos são granulosa, foliada e hidrometalúrgica.
Qual é o principal método usado geólogos para determinar a idade das rochas?;O método mais comum é a radiometria, que usa isótopos radioativos.
Como as formas de vida marinha podem ser usadas para determinar o tempo passado em um local específico?;A presença ou ausência de fósseis de organismos marinhos pode indicar a época geológica em que aquela área estava submersa.
Qual é o nome do processo por meio do qual rochas sedimentares se transformam em granito?;O processo é chamado de metamorfose pediolítica e pode levar a formação de granito, basalto ou obsidiana.
Qual tipo de rocha é geralmente encontrado na parte superior da cadeia dos escarpamentos?;Rocha sedimentar é comumente encontrada neste nível.
Quem é considerado o pai da geologia moderna?;É considerado como Charles Lyell, conhecido por seu trabalho no desenvolvimento do método dos degraus.
Qual é a função principal da rocha ignífuga na formação de novas rochas?;Ela desempenha um papel crucial em processos como vulcanização e metamorfose, contribuindo para a formação de rochas novas.
Qual é o termo geológico usado para descrever uma área com muitas estruturas sedimentares paralelas?;Este tipo de área é chamada de campos sedimentares ou depocamadas.
