pergunta;resposta
O motor a vapor foi inventado por James Watt;Sim
O motor a vapor teve seu desenvolvimento durante a Revolução Industrial;Sim
O motor a vapor consegue converter energia térmica em movimento;Sim
O motor a vapor utiliza combustíveis como lenha e carvão para funcionar;Sim
O motor a vapor opera com base no princípio do vapor de água pressurizado;Sim
O motor a vapor foi utilizado em locomotivas ferroviárias;Sim
O motor a vapor melhorou a eficiência energética dos processos industriais;Sim
O motor a vapor também foi empregado na propulsão de navios;Sim
O motor a vapor teve grande impacto na indústria e no transporte;Sim
O motor a vapor consome menos combustível em comparação a outros tipos de motores;Não
