pergunta;resposta
Em que ano o IPCC foi criado?;1988
Quais organizações da ONU criaram o IPCC?;Programa das Nações Unidas para o Meio Ambiente (PNUMA) e Organização Meteorológica Mundial (OMM)
Qual o objetivo principal do IPCC?;Sintetizar e divulgar o conhecimento sobre mudanças climáticas, causas, efeitos e riscos, e sugerir meios de combater os problemas
Quantos relatórios principais o IPCC já publicou?;Cinco
Em que ano o IPCC ganhou o Prêmio Nobel da Paz?;2007
O IPCC produz pesquisas científicas originais?;Não, reúne e resume conhecimentos de cientistas independentes e governos
Quem é o atual presidente do IPCC?;Hoesung Lee
Onde está localizada a sede do IPCC?;Genebra, Suíça
Quais são os tópicos abordados nos relatórios do IPCC?;Aquecimento global, suas causas, efeitos, riscos para humanidade e meio ambiente
O IPCC é considerado a maior autoridade mundial sobre aquecimento global?;Sim
