pergunta;resposta
Quando a British Satellite Broadcasting começou a operar?;1990-03-25
Qual foi o resultado da fusão com Sky Television plc?;British Sky Broadcasting
A British Satellite Broadcasting pertencia ao tipo de entidade?;Company
Onde estava sediada a British Satellite Broadcasting?;London, United Kingdom
Quando a British Satellite Broadcasting foi fundada?;1986-12-11
Qual filme foi produzido pela British Satellite Broadcasting?;Hardware (film)
Quem era o proprietário da The Computer Channel (BSB)?;British Satellite Broadcasting
Qual canal de TV era de propriedade da British Satellite Broadcasting?;Galaxy (British TV channel), Now (British TV channel), The Power Station (TV channel)
Quando a British Satellite Broadcasting foi desativada?;1990-11-02
Qual filme foi filmado no estúdio da British Satellite Broadcasting?;Memphis Belle (film)
