pergunta;resposta
Em que ano foi criado o IPCC?;1988
Quais são as organizações responsáveis pela criação do IPCC?;Programa das Nações Unidas para o Meio Ambiente (PNUMA) e Organização Meteorológica Mundial (OMM)
Qual é o objetivo principal do IPCC?;sintetizar e divulgar o conhecimento sobre mudanças climáticas, suas causas, efeitos e soluções
Quantos grandes relatórios o IPCC já produziu até 2014?;cinco
Qual prêmio o IPCC recebeu em 2007?;Prêmio Nobel da Paz
Qual cidade é a sede do IPCC?;Genebra
Quem é o atual presidente do IPCC?;Hoesung Lee
Quem foi o primeiro presidente do IPCC?;Bert Bolin
Qual é o papel do IPCC no contexto das políticas climáticas?;fornecer a base científica para decisões e acordos internacionais
Qual é a denominação oficial do IPCC em português?;Painel Intergovernamental sobre Mudanças Climáticas
