pergunta;resposta
Quem formulou originalmente o conceito de desobediência civil?;Henry David Thoreau
Qual foi um dos movimentos que utilizou a desobediência civil com sucesso?;Movimento pelos direitos civis nos EUA
Onde Mahatma Gandhi aplicou o conceito de desobediência civil?;Índia e Paquistão
Quem é conhecido por seu trabalho relacionado à desobediência civil na Inglaterra?;Tony Milligan
Qual termo é usado para ação direta não violenta contra leis injustas?;desobediência civil
Que tipo de protestos incluem a desobediência civil em Montenegro?;protestos anti-corrupção e clerical
Quem utiliza métodos de desobediência civil na luta pelos direitos das mulheres?;Sisters Uncut
Qual é o nome do movimento que se opôs ao Túnel de Thirty Meter Telescope?;Thirty Meter Telescope protests
Que técnica foi utilizada durante a crise em Montenegro em 2015-2016?;desobediência civil
Quem utiliza desobediência civil para protestar contra o uso obrigatório do véu islâmico na Irã?;protestos iranianos
