pergunta;resposta
O que corresponde à desigualdade de wealth em mostlyas like nos landes como Rio de Janeiro?;40%
Quanto do total dos riquezes, o 1% mais ricos em todo world possuem em 2016?;metade
Qual o impacto significativo do wealth disparity entre os principais cidades da USA?;"a diversão ""."
O que fez as descobertas da Oxfam serem questionadas?;"uma diversão""."
Qual opção mais acessível para uma pessoa pobre em todo o mundo?;cerca de 3,5 bilhões de pessoas.
qual porcentagem dos ativos globais em 2000 pertencia a apenas 1% dos adultos?;40%
Qual o impacto da diversão global da wealth inequality entre os principais cidades do mundo?;"a diversão ""."
qual será a riqueza combinada dos millionários de 10 milhões de dólares em 2008?;quase US $ 41 trilhões
Qual é o porcentagem do riquezo global dos 1% mais ricos em 2016?;metade
Por que há mais pessoas pobres na USA e na Europa que no China?;"uma maior tendência a assumir dívidas).

""uma diversão""."
