pergunta;resposta
Qual foi o nome da empresa que foi incorporada pela British Satellite Broadcasting em novembro de 1990?;British Sky Broadcasting (BSkyB)
Quando a British Satellite Broadcasting começou a transmitir serviços de televisão?;25 de março de 1990
Qual foi o destino final da British Satellite Broadcasting conforme mencionado nos fatos?;Fusionada com a Sky Television para formar a BSkyB
Quais foram as localizações associadas à British Satellite Broadcasting?;Inglaterra, Londres, Marco Polo House, Reino Unido
Quais canais de televisão eram associados à British Satellite Broadcasting?;Galaxy, Now, The Computer Channel, The Movie Channel, The Power Station
Quais filmes foram produzidos pela British Satellite Broadcasting?;Hardware, Memphis Belle
Qual foi o ano de fundação da British Satellite Broadcasting?;1986
Quem foi a empresa sucessora da British Satellite Broadcasting?;Sky UK
Quais são as categorias associadas à British Satellite Broadcasting nos fatos?;1980s em televisão britânica, 1990 em televisão britânica, 1990 em mergulhos e aquisições, 1990s em televisão britânica, empresas britânicas desestabilizadas em 1990, empresas britânicas estabelecidas em 1986, histórias da televisão no Reino Unido
Quais foram os nomes de domínio associados à British Satellite Broadcasting?;bsb, bskyb
