pergunta;resposta
6. Imperialism is distinct from colonialism; what does that mean? Answer: "Colonialism focuses on people, imperialism on power."
pergunta;resposta
Qual é a definição principal de imperialism?;Extender energia e dominio
Como states ganham controlo?;Acquiring territorio
Qua forma de ganho states podem adquirir controlo policial?;E economic or military
O que é outro nome para a força militar?;Hard power
Imperialism pode ser alcançado com qual tipo de força?;Cultural and diplomatic
Imperialism e colonialismo são diferentes em que aspectos?;In terms of focus on people vs. power
Imperialism pode aplicar-se a quais situações?;Expansion
Em帝国主义, os estados podem adotar quais tipos de governo?;Various types of government
Qual é um fator importante para o sucesso do帝国ismo?;Territory acquisition
O que é outro termo para a força cultural ou diplomatica?;Soft power
