Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Onde o rio Reno começa?,Nos Alpes suíços,1.83333,3.43523,1.0,0.250,1.0,2.50045,1.0,0.000
Qual o nome do rio em celta?,Rēnos,2.25,4.10211,1.0,0.667,0.0,1.0,1.0,0.000
Quais estados alemães recebem o nome do rio?,North Rhine-Westphalia e Rhineland-Palatinate,2.11111,4.37319,1.0,0.400,1.0,3.01273,1.0,0.000
Qual o comprimento aproximado do rio Reno?,1.230 km,2.375,4.10211,1.0,0.500,0.5,1.85566,1.0,0.000
Para que país o rio Reno eventualmente deságua?,No Mar do Norte,2.22222,4.37319,1.0,0.400,1.5,3.01273,1.0,0.333
Qual a importância do rio Reno historicamente?,Vital rota de comércio e transporte,2.375,4.10211,1.0,0.500,1.33333,3.79304,1.0,0.750
Quais impérios usaram o rio Reno como fronteira?,O Império Romano,1.77778,4.37319,1.0,0.400,0.66667,2.50045,1.0,0.000
Qual a vazão média do rio Reno?,2.900 m3/s,1.875,4.10211,1.0,0.500,0.5,1.85566,1.0,0.000
Quais cidades importantes estão localizadas no rio Reno?,Colônia,2.22222,4.37319,1.0,0.167,0.0,1.0,1.0,0.000
Como o rio Reno define fronteiras entre países?,Suíça,2.55556,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
