pergunta;resposta
Qual o principal contraste entre a comutação de pacotes e a comutação de circuitos?;A comutação de pacotes contrasta com a comutação de circuitos, que estabelece uma ligação virtual dedicada durante a transmissão.
Qual a vantagem de utilizar a comutação de pacotes em redes?;A comutação de pacotes otimiza o uso da largura de banda da rede, minimiza a latência e aumenta a robustez da comunicação.
Quais são as duas formas de comutação de pacotes?;As duas formas são com ligação (circuito virtual) e sem ligação (datagrama).
O que é característico da comutação de pacotes com ligação?;Oferece a garantia de entrega dos pacotes e de uma forma ordenada.
O que é essencial para a comutação de pacotes sem ligação (datagrama)?;É necessário enviar-se sempre o endereço de origem.
Quem é creditado por cunhar o nome moderno de comutação de pacotes?;Donald Davies é creditado por cunhar o nome moderno de comutação de pacotes.
Quem desenvolveu o conceito de 'Switching Adaptive Message'?;Paul Baran desenvolveu o conceito de 'Switching Adaptive Message'.
Qual a importância de W. David Sincoskie no contexto da comutação de pacotes?;W. David Sincoskie é conhecido por Packet switching.
Qual a categoria principal a qual a comutação de pacotes pertence?;A comutação de pacotes pertence à categoria Computer networking.
Qual a principal característica da comutação de pacotes sem ligação em relação a falhas na rede?;A comutação de pacotes sem ligação oferece flexibilidade e robustez superiores, já que a rede pode reajustar-se mediante a quebra de um link de transmissão de dados.
