pergunta;resposta
Qual é um exemplo de método amplamente utilizado para medir desigualdade econômica?;Coeficiente de Gini
O que mede a desigualdade de renda usando a distribuição da riqueza entre as pessoas?;Desigualdade de riqueza
Qual índice leva em conta a desigualdade ao avaliar o desenvolvimento humano?;IDH ajustado para desigualdade
A globalização reduziu ou aumentou a desigualdade entre as nações?;Reduziu
O que é um conceito importante de igualdade relacionado à justiça distributiva?;Equidade
Como se chama o tipo de desigualdade econômica medida pela distribuição da renda?;Desigualdade de renda
Qual foi a década em que a desigualdade de renda entre as nações atingiu seu pico?;1970s
A maioria das pessoas atualmente vive em países de baixa, alta ou média renda?;Média renda
Pesquisas sugerem que maior desigualdade econômica pode levar a quê?;Instabilidade política e social
Como as políticas fiscais e transferências governamentais afetam a distribuição de renda nos países avançados?;Reduzem a desigualdade por um terço
