Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
1. O que é uma escola particular?,uma escola não administrada ou financiada pelo governo,1.03571,4.10211,1.0,0.500,1.0,4.37319,1.0,0.800
2. Como as escolas particulares diferem das públicas?,não são financiadas pelo governo,1.1875,4.37319,1.0,0.000,1.0,3.43523,1.0,1.000
3. Qual é uma característica principal das escolas particulares?,operação independente,1.13889,4.61384,1.0,0.333,0.5,1.85566,1.0,1.000
4. O que as escolas particulares geralmente têm?,conselho de governadores,1.5,4.37319,1.0,0.200,0.66667,2.50045,1.0,0.500
5. As escolas particulares dependem de financiamento governamental?,não,1.1875,4.37319,1.0,0.000,0.0,1.0,1.0,2.000
6. O que garante a operação independente das escolas particulares?,sistema de governança,1.35,4.82961,1.0,0.333,0.66667,2.50045,1.0,0.500
7. Qual é outro termo para escola particular?,escola independente,1.0625,4.37319,1.0,0.600,0.5,1.85566,1.0,1.000
8. Que tipo de escolas não são administradas pelo governo?,escolas particulares,1.3,4.82961,1.0,0.714,0.5,1.85566,1.0,0.000
9. Qual é o oposto de escola pública?,escola particular,1.0625,4.37319,1.0,0.400,0.5,1.85566,1.0,1.000
10. Qual é a principal fonte de financiamento para escolas particulares?,não financiamento governamental,1.11364,5.02467,1.0,0.286,0.66667,2.50045,1.0,0.667
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
O que é uma escola particular?,uma escola não administrada ou financiada pelo governo,1.57143,3.79304,1.0,0.667,1.0,4.37319,1.0,0.800
Como as escolas particulares diferem das públicas?,não são financiadas pelo governo,1.875,4.10211,1.0,0.000,1.0,3.43523,1.0,1.000
Qual é uma característica principal das escolas particulares?,operação independente,1.77778,4.37319,1.0,0.400,0.5,1.85566,1.0,1.000
O que as escolas particulares geralmente têm?,conselho de governadores,2.5,4.10211,1.0,0.250,0.66667,2.50045,1.0,0.500
As escolas particulares dependem de financiamento governamental?,não,1.875,4.10211,1.0,0.000,0.0,1.0,1.0,2.000
O que garante a operação independente das escolas particulares?,sistema de governança,2.2,4.61384,1.0,0.400,0.66667,2.50045,1.0,0.500
Qual é outro termo para escola particular?,escola independente,1.625,4.10211,1.0,0.750,0.5,1.85566,1.0,1.000
Que tipo de escolas não são administradas pelo governo?,escolas particulares,2.1,4.61384,1.0,0.833,0.5,1.85566,1.0,0.000
Qual é o oposto de escola pública?,escola particular,1.625,4.10211,1.0,0.500,0.5,1.85566,1.0,1.000
Qual é a principal fonte de financiamento para escolas particulares?,não financiamento governamental,1.72727,4.82961,1.0,0.333,0.66667,2.50045,1.0,0.667
