pergunta;resposta
Vou analisar o conteúdo fornecido para gerar 10 pares pergunta;resposta no formato CSV conforme as instruções.
Agora vou criar 10 pares pergunta;resposta:
1. Qual cidade é a quinta maior cidade da Califórnia?;Fresno
2. O que o nome Fresno significa em espanhol?;freixo
3. Em que ano Fresno se tornou uma cidade incorporada?;1885
4. Quantos habitantes Fresno tinha em 2020?;542.107
5. Que rio tem freixos abundantes, daí o nome da cidade?;San Joaquin
6. Que tipo de cidade Fresno é em termos de composição étnica?;maioria hispânica
7. Quais parques nacionais estão próximos a Fresno?;Yosemite, Kings Canyon e Sequoia
8. Que função Fresno desempenha na região?;hub econômico
9. Qual é a área coberta por água em Fresno?;1,21 mi²
10. Em que posição Fresno se encontra no ranking populacional nacional?;34ª
Qual cidade é a quinta maior cidade da Califórnia?;Fresno
O que o nome Fresno significa em espanhol?;freixo
Em que ano Fresno se tornou uma cidade incorporada?;1885
Quantos habitantes Fresno tinha em 2020?;542.107
Que rio tem freixos abundantes, daí o nome da cidade?;San Joaquin
Que tipo de cidade Fresno é em termos de composição étnica?;maioria hispânica
Quais parques nacionais estão próximos a Fresno?;Yosemite, Kings Canyon e Sequoia
Que função Fresno desempenha na região?;hub econômico
Qual é a área coberta por água em Fresno?;1,21 mi²
Em que posição Fresno se encontra no ranking populacional nacional?;34ª
