pergunta;resposta
Juntamente com as escolas não-governamentais, qual é outro termo para escolas particulares?;independentes,
Qual é o termo usado para descrever escolas particulares que não cobram taxas?;sem taxa
Em que região o termo 'escolas particulares' é usado para universidades?;América do Norte
Qual é o outro nome para escolas particulares que são instituições religiosas?;escolas confessionais,
Qual é o termo para escolas particulares financiadas por doações em vez de impostos?;escolas privadas,
Qual é o direito exclusivo das escolas particulares em relação aos alunos?;o de selecionar seus alunos
Qual é o termo para escolas particulares que oferecem ensino superior?;instituições de ensino superior privadas,
Qual é o custo anual médio de uma escola preparatória em Nova Iorque?;$ 30.000
Qual é a denominação para escolas particulares que são mantidas por congregações?;escolas missionárias,
Qual é o termo para escolas particulares que não seguem o sistema público de ensino?;independentes,
