pergunta;resposta
Qual é a sigla do Painel Intergovernamental sobre Mudanças Climáticas?;IPCC
Em que ano foi criado o IPCC?;1988
Qual é o objetivo principal do IPCC?;Avaliar a ciência relacionada às mudanças climáticas.
Quando foi publicado o primeiro relatório do IPCC?;1990
O que o primeiro relatório do IPCC destacou em relação ao aquecimento global?;Que as atividades humanas são um fator importante.
Qual foi a afirmação mais forte feita pelo Relatório de Avaliação do Sexto Período (AR6) sobre as mudanças climáticas?;As mudanças climáticas são inequivocamente causadas por atividades humanas.
Além de relatórios periódicos, o que mais faz o IPCC?;Realiza avaliações sobre impactos e vulnerabilidades.
Para quais negociações internacionais o IPCC fornece base científica?;Protocolo de Kyoto e Acordo de Paris.
Como se chama a mais recente avaliação do IPCC sobre as mudanças climáticas?;Relatório de Avaliação do Sexto Período (AR6)
O que o IPCC avalia em suas avaliações periódicas?;Ciência das mudanças climáticas.
