pergunta;resposta
Qual o nome da dinastia Yuan em caracteres mongóis?;Grande Yuan
Em que ano a dinastia Yuan foi oficialmente estabelecida?;1271
Qual foi a capital da dinastia Yuan?;Khanbaliq (Dàdū)
Quem foi o último imperador da dinastia Yuan?;Toghon Temür
Que religiões eram praticadas durante a dinastia Yuan?;Budismo, Tengrismo Mongol, Xamanismo, Taoísmo, Confucionismo, Religião Popular Chinesa, Cristianismo Nestoriano Chinês, Catolicismo, Judaísmo, Maniqueísmo Chinês e Islamismo
Em que ano a dinastia Yuan foi derrubada?;1368
Qual o nome da dinastia Yuan em caracteres chineses?;Yuancháo
Qual batalha é significativa para o fim da dinastia Yuan?;Batalha de Yamen
Quem foi o avô de Kublai Khan?;Genghis Khan
Qual dinastia sucedeu a Yuan?;Dinastia Ming
