Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é o comprimento do rio Reno?,1 233 km,2.0,4.10211,1.0,0.500,1.0,2.50045,1.0,0.000
Onde desagua o rio Reno?,no mar do Norte no delta do Reno–Mosa–Escalda,1.5,3.43523,1.0,0.250,4.66667,4.69839,0.75,0.250
Quem nascido na margem do Reno foi mencionado no contexto?,Margaret Hardenbroeck,2.54545,4.82961,1.0,0.167,0.5,1.85566,1.0,0.000
Qual é a elevação da foz do Reno em metros acima do nível do mar?,0.0 metros,3.1875,5.89204,0.86667,0.571,0.5,1.85566,1.0,0.000
Que rio se une ao Reno para formar o delta do Reno-Mosa-Escalda?,Maas (Meuse),2.38462,5.20226,1.0,0.333,1.5,1.85566,1.0,0.000
O Reno é uma fronteira entre quais países mencionados no contexto?,Alemanha e Suíça,2.25,5.02467,1.0,0.167,0.66667,2.50045,1.0,0.000
Qual cidade austríaca faz parte da bacia hidrográfica do Reno?,Viena,2.54545,4.82961,1.0,0.429,0.0,1.0,1.0,0.000
Quem liderou o cruzamento do Reno para entrar na Alemanha durante a Segunda Guerra Mundial?,Não especificado,2.375,5.65316,1.0,0.125,0.5,1.85566,1.0,0.000
O rio Reno é conhecido por quais características geográficas no contexto?,É um rio internacional e uma fronteira natural,2.16667,5.02467,1.0,0.286,1.125,4.37319,1.0,0.800
Qual template é usado extensivamente na descrição do rio Reno na DBPedia?,Template:Rhine–Meuse–Scheldt_delta,3.46154,5.32781,0.91667,0.375,1.42857,1.85566,1.0,0.000
