pergunta;resposta
Qual é a população estimada de Fresno em 2021?;634.574
Fresno faz parte do que tipo de região administrativa?;Condado
Em qual estado dos Estados Unidos se localiza Fresno?;Califórnia
Qual é a área média de Fresno em quilômetros quadrados?;170,94
Quando foi fundada Fresno?;1872
Qual é o nome do aeroporto internacional de Fresno?;Municipal Fresno Yosemite International Airport
Em que ano a população estimada de Fresno atingiu 500.000 habitantes?;2016
Qual é o principal rio que atravessa Fresno?;Rio San Joaquin
Em qual região climática Fresno está localizada?;Região Mediterrânea
Qual é o nome da universidade mais antiga de Fresno?;Universidade Estadual de Fresno
