pergunta;resposta
Qual é o nome do índice que leva em conta a desigualdade ao medir o desenvolvimento humano?;Índice de Desenvolvimento Humano Ajustado pela Desigualdade
O Coeficiente de Gini é utilizado para medir o quê?;desigualdade econômica
Quem são dois economistas mencionados no contexto que se especializam em desigualdade econômica?;Branko Milanović e Robert Wade (scholar)
Qual movimento foi motivado pela desigualdade econômica na China?;Land Reform Movement
Como a globalização afetou a desigualdade entre as nações?;reduziu
Qual é um exemplo de movimento que teve como causa a desigualdade econômica no Paquistão em 1968?;1968_movement_in_Pakistan
O Occupy Movement foi motivado pela desigualdade econômica em várias cidades. Qual dessas não é mencionada como parte do movimento?;Occupy_Windsor
Qual livro é sobre a relação entre QI e riqueza de nações?;IQ and the Wealth of Nations
Qual conceito importante de igualdade inclui igualdade de oportunidades?;igualdade
O que sugere a pesquisa sobre o impacto da desigualdade na duração do crescimento econômico?;uma maior desigualdade dificulta a duração do crescimento, mas não sua taxa
