Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
1. O que Paul Baran desenvolveu?,o conceito Switching Adaptive Message Block,1.0,3.79304,1.0,0.000,1.83333,3.79304,1.0,0.200
2. O que esse conceito contradiz?,princípios de pré-alocação da largura de banda da rede,1.08333,3.79304,1.0,0.333,1.66667,4.92241,0.77778,0.600
3. Quem cunhou o nome moderno de comutação de pacotes?,Donald Davies,1.25,4.96484,0.9,0.333,0.5,1.85566,1.0,0.000
4. O que compõe um pacote?,cabeçalho e payload,1.0,3.79304,1.0,0.333,0.66667,2.50045,1.0,0.000
5. Qual era o objetivo do sistema?,fornecer roteamento eficiente e tolerante a falhas,1.10714,4.10211,1.0,1.000,0.85714,4.10211,1.0,0.400
6. Como a comutação de pacotes influenciou a ARPANET?,incorporada no design da ARPANET,1.36111,4.75438,0.88889,0.000,1.0,3.43523,1.0,0.333
7. A comutação de pacotes contrasta com o que?,comutação de circuitos,1.25,4.61384,1.0,0.000,0.66667,2.50045,1.0,0.000
8. Como a comutação de pacotes é caracterizada?,baseada em pacotes de dados,1.25,4.37319,1.0,0.000,0.8,3.43523,1.0,0.000
9. Qual categoria tem a comutação de pacotes?,protocolos de rede,1.125,4.37319,1.0,0.200,0.66667,2.50045,1.0,0.500
10. Qual é a base principal das comunicações de dados?,comutação de pacotes,1.15,4.82961,1.0,0.333,0.66667,2.50045,1.0,0.000
O que Paul Baran desenvolveu?,o conceito Switching Adaptive Message Block  ,1.5,3.43523,1.0,0.000,1.83333,3.79304,1.0,0.200
O que esse conceito contradiz?,princípios de pré-alocação da largura de banda da rede  ,1.66667,3.43523,1.0,0.500,1.66667,4.92241,0.77778,0.600
Quem cunhou o nome moderno de comutação de pacotes?,Donald Davies  ,2.0,4.75438,0.88889,0.400,0.5,1.85566,1.0,0.000
O que compõe um pacote?,cabeçalho e payload  ,1.5,3.43523,1.0,0.500,0.66667,2.50045,1.0,0.000
Qual era o objetivo do sistema?,fornecer roteamento eficiente e tolerante a falhas  ,1.71429,3.79304,1.0,1.333,0.85714,4.10211,1.0,0.400
Como a comutação de pacotes influenciou a ARPANET?,incorporada no design da ARPANET  ,2.22222,4.51932,0.875,0.000,1.0,3.43523,1.0,0.333
A comutação de pacotes contrasta com o que?,comutação de circuitos  ,2.0,4.37319,1.0,0.000,0.66667,2.50045,1.0,0.000
Como a comutação de pacotes é caracterizada?,baseada em pacotes de dados  ,2.0,4.10211,1.0,0.000,0.8,3.43523,1.0,0.000
Qual categoria tem a comutação de pacotes?,protocolos de rede  ,1.75,4.10211,1.0,0.250,0.66667,2.50045,1.0,0.500
Qual é a base principal das comunicações de dados?,comutação de pacotes,1.8,4.61384,1.0,0.400,0.66667,2.50045,1.0,0.000
