Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
1. De que ano é a criação do IPCC?,1988,1.19444,4.61384,1.0,0.400,0.0,1.0,1.0,0.000
2. Quais organizações criaram o IPCC?,Organização Meteorológica Mundial (OMM) e Programa das Nações Unidas para o Meio Ambiente (PNUMA),1.08333,3.79304,1.0,0.000,2.16667,5.51466,1.0,0.385
3. Em qual cidade está sediado o IPCC?,Genebra,1.125,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
4. Qual é a missão principal do IPCC?,Avançar conhecimentos científicos sobre o clima causado por humanos,1.125,4.37319,1.0,0.200,1.66667,4.61384,1.0,0.167
5. Em que ano o IPCC recebeu o Prêmio Nobel da Paz?,2007,1.375,5.32781,0.91667,0.125,0.0,1.0,1.0,0.000
6. Quem é o atual presidente do IPCC?,Hoesung Lee,1.25,4.37319,1.0,0.400,0.5,1.85566,1.0,0.000
7. Qual a nacionalidade de Hoesung Lee?,Coreano,1.03571,4.10211,1.0,0.250,0.0,1.0,1.0,0.000
8. Quantos Estados membros fazem parte do IPCC?,195,1.3125,4.37319,1.0,0.167,0.0,1.0,1.0,0.000
9. Que tipo de relatório principal o IPCC produz?,Relatórios de Avaliação,1.36111,4.61384,1.0,0.333,0.66667,2.50045,1.0,0.333
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
De que ano é a criação do IPCC?,1988,1.88889,4.37319,1.0,0.500,0.0,1.0,1.0,0.000
Quais organizações criaram o IPCC?,Organização Meteorológica Mundial (OMM) e Programa das Nações Unidas para o Meio Ambiente (PNUMA),1.66667,3.43523,1.0,0.000,2.16667,5.51466,1.0,0.385
Em qual cidade está sediado o IPCC?,Genebra,1.75,4.10211,1.0,0.250,0.0,1.0,1.0,0.000
Qual é a missão principal do IPCC?,Avançar conhecimentos científicos sobre o clima causado por humanos,1.75,4.10211,1.0,0.250,1.66667,4.61384,1.0,0.167
Em que ano o IPCC recebeu o Prêmio Nobel da Paz?,2007,2.25,5.1549,0.90909,0.143,0.0,1.0,1.0,0.000
Quem é o atual presidente do IPCC?,Hoesung Lee,2.0,4.10211,1.0,0.500,0.5,1.85566,1.0,0.000
Qual a nacionalidade de Hoesung Lee?,Coreano,1.57143,3.79304,1.0,0.333,0.0,1.0,1.0,0.000
Quantos Estados membros fazem parte do IPCC?,195,2.125,4.10211,1.0,0.200,0.0,1.0,1.0,0.000
Que tipo de relatório principal o IPCC produz?,Relatórios de Avaliação,2.22222,4.37319,1.0,0.400,0.66667,2.50045,1.0,0.333
