pergunta;resposta
Qual é o menor número primo maior que 2?;3
Um número primo não pode ser:;dividido por mais de dois números, exceto ele mesmo e 1
Qual é o maior número primo que é menor do que 50?;47
Se um número não for divisível por nenhum número além de 1 e dele mesmo, ele é:;número primo
Qual é o quinto número primo?;11
Se dois números primos maiores que 2 são multiplicados, qual será o resultado da soma de todos os divisores desses dois números no conjunto original (incluindo a multiplicação)?;o número resultante é sempre um múltiplo do produto dos dois números primeiros
Um número primo pode ser:;dividido por qualquer número que seja múltiplo de ele mesmo e 1
Qual é o número primo mais pequeno que é divisível por 3?;3
Um número não-primo que tem pelo menos dois fatores diferentes é chamado de:;número composto
Quais são os divisores primos do número 25?;5 e 5 (ou apenas 5)
