Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Quem eram os Huguenotes?,Protestantes franceses da tradição reformada.,1.4,3.01273,1.0,0.000,2.0,3.43523,1.0,0.250
De onde vem o termo Huguenot?,Do nome de Hugues,1.57143,3.79304,1.0,0.333,0.75,3.01273,1.0,0.500
Qual a porcentagem de Huguenotes em 1572?,Até 10% da população francesa.,1.625,4.10211,1.0,0.000,1.85714,3.79304,1.0,0.333
Qual o papel do Edito de Nantes?,Concedeu autonomia religiosa e política.,1.75,4.10211,1.0,0.500,1.5,3.43523,1.0,0.250
Quem liderou os Huguenotes?,Jeanne d'Albret e Henrique IV.,1.4,3.01273,1.0,0.000,1.875,3.79304,1.0,0.200
Qual a causa da perseguição sob Luís XIV?,Edito de Fontainebleau (1685).,2.22222,4.37319,1.0,0.500,2.0,3.01273,1.0,0.250
Qual o impacto da expulsão dos Huguenotes?,Fuga de talentos e perda de conhecimento.,2.375,4.10211,1.0,0.000,1.875,4.25402,0.85714,0.500
Quando os protestantes obtiveram direitos iguais?,Edito de Versailles (1787).,1.71429,3.79304,1.0,0.000,2.0,3.01273,1.0,0.250
Qual a religião predominante nas regiões orientais da França?,Luteranos.,3.2,4.61384,1.0,0.200,0.5,1.0,1.0,0.000
Qual foi o resultado dos dragonnades?,Forçaram conversão ou exílio.,1.71429,3.79304,1.0,0.333,1.4,3.01273,1.0,0.000
