pergunta;resposta
O que é islamismo?;Um movimento de reavivamento islâmico que procura integrar todas as esferas da vida.
Quais são os dois movimentos islâmicos mencionados e o que eles têm em comum?;Os islamitas moderados e reformistas trabalham dentro dos limites de um processo democrático, enquanto as organizações radicais rejeitam a democracia.
Quais são os métodos usados por grupos islâmicos para obter poder?;"Revolução ou invasão;"
O que é o objetivo de organizações como Hezbollah e Hamas?;Abolir o estado de Israel.
Por que os islamitas radicais conduzem seus ataques?;Baseados em motivos religiosos.
Qual é a origem do Hamas?;Palestina
Em quais esferas da vida o islamismo busca se integrar?;Todas as esferas da vida.
O que é reordenação no contexto de islamismo?;Objetivo de sociedade e governo no islamismo.
Quem são alguns dos signatários conhecidos do islamismo?;Mirza Husayn Tehrani, Muhammad Kazim Khurasani, Abdallah Mazandaran.
Como o islamismo se relaciona com a democracia segundo os radicais islâmicos?;As organizações islâmicas radicais rejeitam inteiramente a democracia.
