Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quais são os nomes comuns dos Ctenophora?,carambolas-do-mar ou águas-vivas-de-pente,1.75,4.10211,1.0,0.250,0.66667,2.50045,1.0,0.000
Onde são encontrados os Ctenophora?,nas águas oceânicas e estuarinas,1.5,3.43523,1.0,0.333,1.4,3.43523,1.0,0.000
Como se locomovem os Ctenophora?,utilizando cílios,1.5,3.43523,1.0,0.000,0.5,1.85566,1.0,0.000
Qual é a característica distintiva dos Ctenophora?,a presença de pentes formados por grupos de cílios,2.0,4.10211,1.0,0.250,1.22222,4.75438,0.88889,0.200
Como os Ctenophora se diferenciam das medusas?,são mais uma convergência evolutiva do que um relacionamento filogenético próximo,1.875,4.10211,1.0,0.000,1.45455,5.02467,1.0,0.833
Quais são as classes dos Ctenophora?,Tentaculata,1.71429,3.79304,1.0,0.333,0.0,1.0,1.0,0.000
Qual é o status taxonômico dos Ctenophora?,filo,2.0,4.10211,1.0,0.000,0.0,1.0,1.0,0.000
Desde quando os Ctenophora estão presentes no registo fóssil?,desde o Cambriano,1.9,4.61384,1.0,0.200,0.66667,2.50045,1.0,0.000
Qual é o tamanho médio dos Ctenophora?,de cerca de 1 mm a 1,2.0,4.10211,1.0,0.500,1.28571,4.44634,0.71429,0.000
Qual é o nome científico do grupo Ctenophora?,Ctenophora,2.11111,4.37319,1.0,0.600,0.0,1.0,1.0,0.000
