pergunta;resposta  
O que é o fluido de trabalho principal em uma máquina a vapor?;Vapor  
Como a máquina a vapor converte a pressão do vapor em trabalho mecânico?;Usando um virabrequim e manivela  
Qual ciclo termodinâmico ideal é usado para analisar máquinas a vapor?;Ciclo de Rankine  
Quem patentiou a primeira bomba hidráulica a vapor?;Jerónimo de Ayanz y Beaumont  
Qual foi a melhoria crítica de James Watt?;Retirar vapor usado para condensação  
O que substituiu as máquinas a vapor na geração de energia?;Turbina a vapor  
Quando as máquinas a vapor dominaram a indústria?;Século XIX  
Por que as máquinas a vapor foram substituídas no século XX?;Motores elétricos e a combustão interna  
Qual função tem o virabrequim e manivela em uma máquina a vapor?;Converter movimento recíproco em rotatório  
Quem inventou a primeira máquina a vapor comercialmente utilizável?;Thomas Newcomen
