pergunta;resposta
O que é a desobediência civil?;É um ato propositado de violar uma lei ou ordem considerada injusta, com o objetivo de promover mudanças sociais.
Qual exemplo clássico da desobediência civil pode ser citado?;O 'põe lenha no fogo' e as manifestações violentas contra a globalização são exemplos.
Quais são os motivos principais para a prática da desobediência civil?;A oposição a leis ou ordens consideradas injustas, geralmente ligadas a questões políticas ou sociais.
Como a desobediência civil pode afetar os movimentos sociais?;Pode promover mudanças significativas ao chamar atenção para causas justas e pressionar governos.
Qual filósofo é frequentemente associado à teoria da desobediência civil?;Henry David Thoreau, que defendeu a resistência não-violenta contra as leis injustas.
A desobediência civil sempre é pacífica?;"Não necessariamente; pode incluir atos violentos, dependendo da situação e dos objetivos."
Quais consequências podem advir da prática da desobediência civil?;Pode resultar em sanções legais, prisão ou até mesmo violência contra os participantes.
Como a desobediência civil difere da rebelião armada?;A desobediência civil geralmente é não-violenta, enquanto a rebelião pode envolver uso de força.
Qual foi um movimento histórico que utilizou a desobediência civil como estratégia?;Os protestos pelos direitos civis nos Estados Unidos na década de 1960, incluindo a Marcha dos Quinhentos.
Qual é o objetivo final da desobediência civil?;Promover mudanças sociais ou políticas através da pressão popular e do questionamento de leis injustas.
