pergunta;resposta
Qual é o nome em português brasileiro da floresta que abrange a maior parte da Bacia Amazônica?;Amazônia
Quantos milhões de quilômetros quadrados compreende a Bacia Amazônica?;7 milhões
Qual país abriga a maior parte da floresta amazônica?;Brasil
Quanto por cento do território brasileiro é ocupado pelo bioma Amazônia?;49,29%
Quantos países fazem parte da região amazônica?;Nove
Quem é o autor conhecido por trabalhos na Amazônia além de Guillermo Cervantes e Maria Koepcke?;Emilie Snethlage
Qual imagem representa um tucano no contexto da Amazônia?;Ara macao - two at Lowry Park Zoo.jpg
O que representa a Amazônia em termos de biodiversidade global?;A maior biodiversidade em uma floresta tropical no mundo
Qual modelo de página wiki é usado para descrever a Amazônia?;Template:Infobox forest
Qual imagem representa o Parque Nacional do Jaú, incluído como Patrimônio da Humanidade pela UNESCO?;Não especificado no contexto fornecido, mas a pergunta é relevante para entender as imagens associadas à Amazônia.
