pergunta;resposta
Qual é a ideologia política dos 'al-Islamiyyun'?;islamismo
O que os defensores do islamismo político buscam implementar?;a xaria
Qual é um dos objetivos principais do movimento islâmico?;a unidade política pan-islâmica
Quais influências o islamismo político rejeita?;influências não-muçulmanas, especialmente ocidentais
Qual movimento foi fundado por Jamal al-Din al-Afghani?;movimento do islamismo político
Qual partido político na Bélgica tem ideologia de islamismo?;ISLAM (partido político)
Qual é o tipo de página wiki associado ao islamismo?;Template:Wiktionary-inline
Qual movimento na Argélia tem ideologia de islamismo?;Harkat-ul-Mujahideen
Qual imagem representativa está associada ao islamismo?;Dr Ali Shariati.jpg
Qual é o tipo de entidade que o islamismo é considerado?;Thing
