Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
7. Equity isn't just fairness, it's more about outcomes and opportunities,0.83333,3.79304,1.0,0.167,2.125,4.10211,1.0,0.143
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Economic inequality is primarily measured by income distribution.,yes,3.33333,4.37319,1.0,0.000,0.0,1.0,1.0,0.000
Globalization has had mixed effects on economic inequality over time.,true,4.27273,4.82961,1.0,0.100,0.0,1.0,1.0,0.000
Income inequality between nations peaked in the 1970s.,true,3.33333,4.37319,1.0,0.000,0.0,1.0,1.0,0.000
Inequality within advanced economies has significantly increased over the last 30 years.,true,4.53846,5.20226,1.0,0.000,0.0,1.0,1.0,0.000
The Gini coefficient measures income inequality using data from tax authorities and surveys.,true,6.5,5.36491,1.0,0.077,0.0,1.0,1.0,0.000
The Inequality-adjusted Human Development Index is a composite statistic that incorporates inequality into human development assessments.,true,4.05882,6.01226,0.875,0.000,0.0,1.0,1.0,0.000
Globalization has increased inequality within nations over time.,true,3.33333,4.37319,1.0,0.125,0.0,1.0,1.0,0.000
Wealth inequality focuses on the distribution of ownership rather than income distribution.,true,4.53846,5.32781,0.91667,0.000,0.0,1.0,1.0,0.000
The Inequality-adjusted Human Development Index takes into account factors like life expectancy and education access along with economic growth to assess human development.,true,7.79167,6.66798,0.91304,0.000,0.0,1.0,1.0,0.000
