Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quando foi estabelecido o Parlamento da Escócia?,1999,1.75,4.10211,1.0,0.000,0.0,1.0,1.0,0.000
Quantos membros possui o Parlamento da Escócia?,129,1.875,4.10211,1.0,0.000,0.0,1.0,1.0,0.000
Quais são as principais áreas de responsabilidade do governo escocês?,Educação,1.81818,4.82961,1.0,0.500,0.0,1.0,1.0,0.000
Qual é o nome do governo responsável pelas políticas da Escócia?,Governo da Escócia,2.58333,5.02467,1.0,0.500,1.0,2.50045,1.0,0.000
Quais competências são reservadas ao Parlamento do Reino Unido?,Defesa,2.4,4.61384,1.0,0.167,0.0,1.0,1.0,0.000
Qual é o título do líder do governo escocês?,Primeiro-Ministro,2.6,4.75438,0.88889,0.600,0.0,1.0,1.0,0.000
Qual é a função principal do Parlamento da Escócia?,Criar leis para a Escócia e fiscalizar o governo,2.1,4.61384,1.0,0.333,1.22222,4.61384,1.0,0.200
Qual é o nome oficial do Parlamento da Escócia?,Parlamento da Escócia,2.1,4.61384,1.0,0.500,1.0,2.50045,1.0,0.000
Qual é a duração do mandato dos membros do Parlamento da Escócia?,Cinco anos,3.92308,5.32781,0.91667,0.143,0.5,1.85566,1.0,0.000
Quem é o órgão legislativo da Escócia?,Parlamento da Escócia,2.0,4.10211,1.0,0.500,1.0,2.50045,1.0,0.000
