Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual o nome informal da terceira parte do estado da Califórnia?,Southern California,2.5,5.1549,0.90909,0.500,0.5,1.85566,1.0,0.000
Qual a população aproximada de Southern California em 2019?,23,1.9,4.61384,1.0,0.200,0.0,1.0,1.0,0.000
Qual empresa atende à região Southern California?,May Company California,2.875,4.10211,1.0,0.400,1.0,2.50045,1.0,0.000
Qual a área de transmissão da estação de rádio KIIS-FM?,Southern California,1.72727,4.96484,0.9,0.800,0.5,1.85566,1.0,0.000
Quem nasceu em Southern California?,Stephen Kosslyn,2.0,3.43523,1.0,0.000,0.5,1.85566,1.0,0.000
Qual earthquake afetou Southern California em 1994?,1994 Northridge earthquake,2.5,4.10211,1.0,0.000,1.0,2.50045,1.0,0.000
Qual a cidade de origem da banda Heartist?,Southern California,2.0,4.37319,1.0,0.750,0.5,1.85566,1.0,0.000
Qual a área de transmissão da estação de rádio KRLA?,Southern California,1.72727,4.96484,0.9,0.800,0.5,1.85566,1.0,0.000
Qual a cidade de origem do músico Daniel Amos?,Southern California,2.3,4.61384,1.0,0.600,0.5,1.85566,1.0,0.000
Qual a cidade de origem do músico Brett Gurewitz?,Southern California,2.3,4.61384,1.0,0.600,0.5,1.85566,1.0,0.000
