pergunta;resposta
1. Qual é o setor industrial da PCL Construction?;Construção  
2. Qual é o hiperônimo de "Preposition stranding"?;Construção  
3. Que serviço é oferecido pela The Trump Organization?;Construção  
4. Em qual indústria a Zamil Steel atua?;Construção  
5. Qual é o hiperônimo de "Quotient ring"?;Construção  
6. A que divisão pertence a Mainzeal?;Construção  
7. Qual é o setor industrial da Walter Construction Group?;Construção  
8. Qual é o hiperônimo de "Transversal (instrument making)"?;Construção  
9. Que serviço é fornecido pela Unify (company)?;Construção  
10. Em qual indústria a SNC-Lavalin atua?;Construção
