pergunta;resposta
Quem estabeleceu a dinastia Yuan?;Kublai Khan
Qual foi o período de existência da dinastia Yuan?;1271 a 1368
A dinastia Yuan foi sucedida por qual dinastia na China?;Ming dynasty
O que significa "Yuan" em Mongol?;Grande Estado
Quem era o avô de Kublai Khan e considerado fundador da dinastia?;Genghis Khan
Qual batalha marcou a conquista completa do sul da China pelos Yuan?;Batalha de Yamen
O que significa "Mandate of Heaven" na história chinesa?;Mandato do Céu
Quais khanatos faziam parte do Império Mongol antes da divisão?;Chagatai, Oração Dourada, Ilcanato
Qual foi o título adotado por Kublai Khan além de Imperador da China?;Grande Can
Onde os líderes Yuan se retiraram após a derrota para os Ming?;Planalto Mongol
