pergunta;resposta
Qual é a principal função do sistema imunitário?;Proteger o organismo contra doenças detectando agentes patogênicos e distinguindo-os de tecidos saudáveis.
Quem cunhou o termo 'sistema imune' e em que ano?;Ilya Ilyich Mechnikov, em 1882.
Cite exemplos de mecanismos básicos de defesa do sistema imunitário.;Fagocitose, defensinas e sistema complemento.
Qual é a função da imunidade adquirida?;Criar memória imunológica para responder mais eficazmente a agentes patogênicos específicos.
Quais doenças podem resultar de disfunções no sistema imunitário?;Doenças autoimunes, inflamações e câncer.
Quais células estão envolvidas na resposta imune?;B cells, T cells, macrófagos, neutrófilos e mast cells.
Quais são as causas da imunodeficiência?;Doenças genéticas, HIV/AIDS e uso de imunossupressores.
Cite exemplos de doenças autoimunes.;Artrite reumatóide e diabetes tipo 1.
Qual é a base científica da vacinação?;A imunidade adquirida, que cria memória imunológica contra agentes específicos.
Em quais organismos simples o sistema imunitário rudimentar está presente?;Organismos unicelulares, como enzimas protetoras contra bacteriófagos.
