Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Como é frequentemente abreviado o sul da Califórnia?,SoCal,1.77778,4.37319,1.0,0.167,0.0,1.0,1.0,0.000
Qual é a maior importância do sul da Califórnia em relação à Califórnia e aos Estados Unidos?,centro econômico,2.77778,6.00792,0.94118,0.375,0.5,1.85566,1.0,1.000
As razões para os dois municípios a serem adicionados são baseadas em quê?,divisões políticas históricas.,2.71429,5.36491,1.0,0.167,1.5,2.50045,1.0,0.000
Qual é a maior população do sul da Califórnia em 2019?,23,2.91667,5.02467,1.0,0.500,0.0,1.0,1.0,0.000
A fronteira em que a região se estende é com qual país?,México,2.38462,5.32781,0.91667,0.600,0.0,1.0,1.0,0.000
Qual é o nome da região após a fronteira em que a região se estende?,Tijuana,1.9375,5.89204,0.86667,0.500,0.0,1.0,1.0,0.000
A região do sul da Califórnia é conhecida por qual característica geográfica?,montanhas,2.61538,5.20226,1.0,0.429,0.0,1.0,1.0,0.000
Qual é o nome da organização que fornece apoio à região?,Automobile Club of Southern California,2.33333,5.02467,1.0,0.667,2.0,3.43523,1.0,0.000
Qual é a principal imagem que representa a região do sul da Califórnia?,I-8 (CA),2.21429,5.48607,0.92308,0.571,1.5,1.85566,1.0,0.000
Qual é o nome da região que está localizada em Southern California?,Southern California,2.07692,5.20226,1.0,0.286,0.5,1.85566,1.0,0.000
