pergunta;resposta
Quais grupos religiosos foram os Huguenotes?;Protestantes franceses que seguiam a tradição Calvinista.
Em que contexto a palavra "Huguenote" surgiu?;Como termo para descrever os protestantes franceses.
Qual foi o principal motivo das Guerras da Religião na França?;Conflitos religiosos entre católicos e huguenotes.
Que tratado encerrou as Guerras da Religião?;O Édito de Nantes, que concedeu autonomia aos huguenotes.
Qual o impacto da revogação do Édito de Nantes?;Perseguição e exílio dos huguenotes.
Qual o papel de Jeanne d'Albret nos anos das Guerras da Religião?;Líder huguenote e mãe do futuro rei Henrique IV.
Como a situação dos huguenotes se alterou após a revogação do Édito de Nantes?;Perseguição, dragonnades e, em última instância, a perda de direitos.
Qual o significado da migração de huguenotes para outros países?;Criação de uma diáspora huguenote, com impacto em diversas regiões.
Qual a relação entre os huguenotes e a diáspora escocesa-irlandesa?;Conexão através de refugiados e exilados, influenciando a cultura e religião.
O que causou a perseguição aos huguenotes por Luís XIV?;Crescimento da influência da Igreja Católica e desejo de centralização do poder.
