pergunta;resposta
Qual é o nome da floresta tropical sobre a qual este texto trata?;Amazon_rainforest
Qual o principal ecossistema descrito no texto?;Floresta tropical
Qual a importância da floresta tropical para o planeta?;Não especificado no texto
Qual a localização geográfica da floresta tropical?;Não especificado no texto
Quais os principais desafios de conservação da floresta tropical?;Não especificado no texto
Quais as espécies animais que habitam a floresta tropical?;Não especificado no texto
Qual a relação entre a floresta tropical e o clima global?;Não especificado no texto
Quais os povos indígenas que vivem na floresta tropical?;Não especificado no texto
Quais os produtos naturais derivados da floresta tropical?;Não especificado no texto
Qual a área total da floresta tropical?;Não especificado no texto
