Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
best time to cast on peseita line 62,yes,3.5,4.37319,1.0,0.125,0.0,1.0,1.0,0.000
rod length of peseita line 60,5 meters,1.83333,3.79304,1.0,0.000,0.5,1.85566,1.0,0.000
is peseita line 14 recommended for 20 kg fish,yes,1.44444,4.61384,1.0,0.000,0.0,1.0,1.0,0.000
best time to fish when using multiple lines,p yes,3.5,4.37319,1.0,0.125,0.5,1.85566,1.0,0.500
rope length of peseita line 62,30 kilograms,2.5,3.79304,1.0,0.000,0.5,1.85566,1.0,0.000
is peseita line 29 recommended for 15 kg fish,yes,1.44444,4.61384,1.0,0.000,0.0,1.0,1.0,0.000
best time to cast on peseita line 60,yes,2.75,4.37319,1.0,0.125,0.0,1.0,1.0,0.000
rope length of peseita line 62,5 meters,2.5,3.79304,1.0,0.000,0.5,1.85566,1.0,0.000
best time to fish when using multiple lines,p yes,3.5,4.37319,1.0,0.125,0.5,1.85566,1.0,0.500
rope length of peseita line 60,5 meters,1.83333,3.79304,1.0,0.000,0.5,1.85566,1.0,0.000
