Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
pergunta,resposta  ,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Quantos presidentes dos Estados Unidos são ex-alunos da Harvard University?,oito presidentes dos EUA  ,2.63636,4.82961,1.0,0.143,1.0,3.01273,1.0,0.000
Qual é o nome da biblioteca principal da Harvard University?,Harvard Library  ,2.36364,4.96484,0.9,0.500,0.5,1.85566,1.0,0.000
Em que ano foi fundada a Harvard University?,1636  ,1.88889,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
Qual é a localização do campus principal da Harvard University?,Cambridge,2.36364,4.82961,1.0,0.167,0.0,1.0,1.0,0.000
Quantos ganhadores do Nobel estão associados à Harvard University?,150 ganhadores do Nobel  ,2.6,4.61384,1.0,0.000,1.5,3.01273,1.0,0.000
Qual é o nome da organização que a Harvard University fundou em 1900?,Associação de Universidades Americanas  ,2.35714,5.36491,1.0,0.286,0.75,3.01273,1.0,0.250
Quem é a primeira mulher a assumir a presidência da Harvard University?,Drew Gilpin Faust  ,2.23077,5.47097,0.83333,0.429,1.0,2.50045,1.0,0.000
Qual é o nome do conselho de elite que inclui a Harvard University?,Ivy League  ,1.85714,5.36491,1.0,0.286,0.5,1.85566,1.0,0.000
Quantos departamentos acadêmicos a Harvard University possui?,11 unidades acadêmicas  ,1.875,4.10211,1.0,0.000,0.66667,2.50045,1.0,0.000
Qual é o ranking atual da Harvard University no USNWR?,ranking USNWR mundial 1,3.09091,4.82961,1.0,0.167,1.25,3.01273,1.0,0.250
