pergunta;resposta
Another example: "Quais são os três principais tipos de rock?;ígnea, sedimentar e metamórfica." So the three types are igneous, sedimentary, metamorphic.
pergunta;resposta  
O que é formado quando as rochas ígneas se resfriam e solidificam?;magma ou lava  
Quais são os dois componentes principais da litosfera?;crosta e a parte superior rígida do manto superior  
Qual é o nome do processo que transforma rochas sedimentares em metamórficas?;calor e à pressão  
O que é a astenosfera?;a parte superior rígida do manto superior  
Como se chama a teoria que explica o movimento das placas tectônicas?;tectônica de placas  
Qual tipo de rocha é formado pela acumulação de sedimentos?;sedimentar  
O que ocorre com as rochas quando são submetidas a alta pressão e temperatura?;transformam-se em rochas metamórficas  
Qual é a principal fonte de calor para o interior da Terra?;decaimento radioativo  
O que é a litosfera?;a camada rígida externa da Terra, composta por crosta e manto superior  
Qual é o processo que leva à formação de rochas ígneas?;solidificação do magma ou lava
