pergunta;resposta
Qual é o termo para pares de números primos que diferem por 2?;números primos gêmeos
Qual é o único número primo que também é par?;2
Qual é o nome do produto de todos os números primos menores ou iguais a um número dado n?;primorial de n
Qual é o maior número primo conhecido da forma p# - 1 e quantos dígitos ele possui?;15877# - 1, com 6845 dígitos
Qual modelo de página wiki é utilizado para representar a sequência de números primos no OEIS?;Template:OEIS
Qual matemático é conhecido por contribuições relacionadas a números primos, conforme mencionado nos fatos?;Landon Curt Noll
Qual número da lista de fatos é um exemplo de número primo e também possui fatoração 'Prime number'?;47
Qual é o nome da imagem representativa que ilustra a distribuição de primos em progressão aritmética?;"Prime numbers in arithmetic progression mod&nbsp;9 zoom in.png"
Qual é o termo para números maiores que 1 que possuem mais de dois divisores?;número composto
Qual é o nome do modelo de página wiki que categoriza artigos contendo provas relacionadas a primos?;Category:Articles containing proofs
