pergunta;resposta
De onde se originou a morte negra?;Ásia Central ou Oriente.
Como a morte negra chegou ao Mediterrâneo e à Europa?;navios mercantes.
Quanto da população europeia matou a morte negra?;30% a 60%.
Até quando a praga durou?;século XVII.
Quantos anos durou o surto principal?;do século XIV ao século XVII.
O que é uma doença enzoótica?;uma doença que é geralmente presente.
Qual a idade das lápides que fazem referência à praga?;datadas de 1338 a 1339.
De onde os cientistas pensam que todas as pragas se originaram?;China.
Quando começou a fome chinesa?;1331.
Quantas pessoas esta epidemia na China matou?;erca de 25 milhões.
