Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
qual o principal objetivo do imperialismo?,expansão do poder político e econômico de um país sobre outros,1.71429,3.79304,1.0,1.000,1.0,5.02467,1.0,1.000
o que é o neocolonialismo?,uma forma de dominação indireta,1.5,3.59796,0.8,0.000,0.8,3.43523,1.0,0.333
qual o período histórico associado ao auge do imperialismo?,final do século XIX e início do século XX,2.3,4.61384,1.0,0.400,1.88889,4.92241,0.77778,0.667
qual a relação entre a Revolução Industrial e o imperialismo?,a Revolução Industrial gerou a necessidade de matérias-primas e mercados consumidores,2.18182,4.96484,0.9,0.250,1.36364,5.1549,0.90909,0.143
o que é o darwinismo social e como ele influenciou o imperialismo?,uma teoria que aplicava a seleção natural à sociedade,2.76923,5.47097,0.83333,0.200,1.55556,4.61384,1.0,0.800
qual o papel da África no contexto do imperialismo?,a África foi alvo de intensa exploração e partilha entre as potências imperialistas,2.4,4.61384,1.0,0.250,1.23077,5.36491,1.0,0.250
o que foi a Conferência de Berlim?,um encontro entre as potências europeias para definir as regras da partilha da África,1.625,4.10211,1.0,0.250,1.71429,5.76263,0.85714,0.286
qual a diferença entre colônia e protetorado?,colônia é território sob domínio direto,2.0,4.10211,1.0,0.667,1.0,3.79304,1.0,0.800
o que é o nacionalismo e como ele se relaciona com o imperialismo?,o nacionalismo exacerbado incentivou a competição entre as potências e a busca por territórios,2.42857,5.62279,0.84615,0.000,1.14286,5.63172,0.92857,0.286
qual o impacto do imperialismo para os povos colonizados?,exploração econômica,1.9,4.61384,1.0,0.000,0.5,1.85566,1.0,0.500
