pergunta;resposta
O número atômico da tabela periódica de oxigênio?;8
Qual é o segundo elemento mais abundante?;hélio
Qual gás compõe 20,8% da atmosfera da Terra?;O2 (gás diatómico)
Quantos átomos se combinam para formar o dioxigénio?;dois átomos
Aproximadamente, quanto oxigénio compõe a crosta terrestre?;quase metade
De que grupo na tabela periódica o oxigénio é membro?;calcogénios
Qual é a principal aplicação do oxigénio em terapias médicas?;suporte respiratório
Qual a descoberta de oxigénio por Carl Wilhelm Scheele e Joseph Priestley?;descoberta independente
Qual a principal razão para a diminuição da concentração de oxigénio na atmosfera?;emissões de combustíveis fósseis
Qual a principal função do ozono na Terra?;absorver radiação ultravioleta
