<think>
Okay, I need to generate 10 question-answer pairs in CSV format based on the provided context about the Normans. Let me start by reading through the context carefully to identify key points.

First, the Normans originated from the intermingling of Norse Vikings and West Franks/Gallo-Romans. That's a good point for a question. Then there's the Treaty of Saint-Clair-sur-Epte establishing the Duchy of Normandy. The Norman conquest of England in 1066 is another major event. Also, the Channel Islands as remnants of the Duchy. Their impact on Sicily and the Crusader states. The language they adopted, Norman French. The military innovations and the Battle of Hastings. Their influence on the Reconquista. The legacy in regional languages and political systems.

I need to make sure each question is relevant and the answers are concise. Let me check for each key point and form questions that ask for specific details. For example, "Quem foi o líder viking que se submeteu a Carlos III da França?" with the answer "Rollo." That's from the part about Rollo swearing fealty. Another could be about the treaty that created the Duchy of Normandy, which is the Treaty of Saint-Clair-sur-Epte. Also, the Norman conquest of England led to most English kings being dukes of Normandy until 1204. The Channel Islands' status as Crown Dependencies. Their role in founding Sicily under Roger II. The language they adopted, Norman French. Their military innovations, like the use of cavalry. The Battle of Hastings in 1066. Their influence on the Reconquista. Their legacy in regional languages and political systems.

I need to ensure that each answer is under 10 words and in Portuguese. Let me structure each pair accordingly, avoiding repetition and covering different aspects from the context.
</think>

pergunta;resposta
Quem foram os Normandos?;População descendente de vikings e francos.
Qual foi a origem dos Normandos?;Intercruzamento entre vikings e francos.
Qual tratado estabeleceu a Normandia?;Tratado de Saint-Clair-sur-Epte.
Quem foi o líder viking que se submeteu a Carlos III?;Rollo.
Qual a língua adotada pelos Normandos?;Normando (dialetos franceses).
Qual evento marcou a conquista da Inglaterra pelos Normandos?;Batalha de Hastings (1066).
Quais territórios os Normandos conquistaram?;Inglaterra, Sicília, Canárias.
Qual a importância cultural dos Normandos?;Arquitetura românica e inovações militares.
Quais são os remanescentes da Normandia hoje?;Ilhas Canárias (Jersey e Guernsey).
Qual o impacto político dos Normandos na Europa?;Influência em leis, religião e expansão militar.
