Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual era a religião predominante dos normandos inicialmente?,Norse paganism,2.55556,4.37319,1.0,0.400,0.5,1.85566,1.0,0.000
Quais idiomas falavam os normandos?,Old Norse,1.66667,3.43523,1.0,0.000,0.5,1.85566,1.0,0.000
Qual modelo de página wiki é usado para descrever os Normans?,Template:Infobox ethnic group,2.08333,5.02467,1.0,0.571,1.2,3.01273,1.0,0.000
Que estilo arquitetônico é associado às igrejas St Mary's Church em Mortehoe e St Bride's Church em Llansantffraed?,Normans,2.95652,6.65876,0.8,0.176,0.0,1.0,1.0,0.000
De qual região da França são originários os normandos?,norte da França,2.1,4.61384,1.0,0.400,1.0,2.50045,1.0,0.500
Qual modelo de página wiki fornece detalhes sobre a família real normanda?,Template:House of Normandy,2.46154,5.20226,1.0,0.625,1.2,3.01273,1.0,0.000
Quem possui nacionalidade normanda e participou em importantes eventos históricos?,Richard of Salerno,2.0,4.82961,1.0,0.143,1.0,2.50045,1.0,0.000
Que termo é frequentemente usado como sinônimo para os normandos?,Northmen ou Norsemen,1.90909,4.82961,1.0,0.500,0.66667,2.50045,1.0,0.000
Qual tipo de modelo de página wiki é utilizado para citar fontes sobre Normans?,Template:Citation needed,2.26667,5.63172,0.92857,0.444,1.0,2.50045,1.0,0.000
De qual família etnicamente normanda faz parte o Lyons family?,Normans,2.18182,4.82961,1.0,0.286,0.0,1.0,1.0,0.000
