pergunta;resposta
Quando o pico da Peste Negra ocorreu na Europa?;1347 a 1351
Qual foi o vetor principal da transmissão da doença?;Pulga do ratinho oriental
De onde teve início a Peste Negra?;Ásia Central ou Ásia Oriental
Qual foi a taxa estimada de mortalidade durante a epidemia?;75 a 200 milhões de pessoas
 Qual foi o principal sintoma da peste bubônica?;Gangrene bubónica nos linhas e nós do corpo
Qual região da Europa foi afetada primeiramente pela Peste Negra?;Crimeia, viajando para o Mediterrâneo
Quanto tempo durou o surto principal da Peste Negra na Europa?;Do início em 1347 ao pico entre 1349 e 1350
Qual foi a consequência demográfica mais significativa da epidemia?;Redução de 30% a 60% da população europeia
O que levou à disseminação rápida da doença?;Falta de higiene e organização em massa para isolamento
Qual foi a bactéria responsável pela Peste Negra?;Yersinia pestis
Qual foi o principal impacto social da Peste Negra?;Crisis religioso, econômico e político na Europa medieval
