Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quem eram os Huguenotes?,Eram os protestantes franceses durante as guerras religiosas na França na segunda metade do século XVI.,1.4,3.01273,1.0,0.000,2.64706,5.89142,0.9375,0.200
Quantos Huguenotes deixaram a França após a revogação do Édito de Nantes?,Cerca de 300 000.,2.30769,5.32781,0.91667,0.125,2.0,3.01273,1.0,0.000
Qual foi a data da revogação do Édito de Nantes?,18 de outubro de 1685.,2.54545,4.82961,1.0,0.333,1.5,3.59796,0.8,0.333
Qual era a principal denominação religiosa dos Huguenotes?,Calvinistas.,2.0,4.37319,1.0,0.400,0.5,1.0,1.0,0.000
Quais regiões da França tinham Huguenotes majoritariamente alemães luteranos?,Alsácia,2.6,4.61384,1.0,0.000,0.0,1.0,1.0,0.000
Qual evento histórico está associado aos Huguenotes e ao dia 24 de agosto?,Massacre de San Bartolomé (24 de agosto de 1572).,2.42857,5.36491,1.0,0.500,2.08333,4.92241,0.77778,0.167
Qual cidade norte-americana foi nomeada em homenagem aos Huguenotes?,Orange County,2.0,4.61384,1.0,0.333,0.5,1.85566,1.0,0.000
Qual é uma das categorias associadas aos Huguenotes no contexto?,Category:French Wars of Religion.,3.09091,4.82961,1.0,0.000,1.85714,3.43523,1.0,0.000
Qual movimento histórico está relacionado aos Huguenotes e é mencionado no contexto?,Camisard.,2.23077,5.20226,1.0,0.250,0.5,1.0,1.0,0.000
Qual é uma das imagens representativas dos Huguenotes?,Croix huguenote.svg.,2.33333,4.37319,1.0,0.000,2.0,1.85566,1.0,0.000
