pergunta;resposta
Qual é o número atômico do oxigênio?;8.
De qual grupo químico o oxigênio faz parte?;Calcogénios.
Qual a massa atómica de um átomo de oxigênio simples?;16 u.
Quem descobriu o oxigênio?;Carl Wilhelm Scheele e Joseph Priestley.
O que os organismos usam para respirar?;Oxigénio.
Qual gás compõe a maior parte da atmosfera terrestre?;Dioxigênio (O2).
Qual a função do ozono na Terra?;Protetor contra radiação UV.
O que aconteceu com os níveis de oxigénio atmosférico?;Estão diminuindo.
Quem desacreditou a teoria do flogisto?;Antoine Lavoisier.
Qual é o principal uso industrial do oxigênio?;Produção de aço, propelente para foguetes e outros usos.
