pergunta;resposta
Qual a porcentagem que a Amazônia representa nas florestas tropicais do planeta?;mais da metade
Quantos quilômetros quadrados de floresta tropical são cobertos na bacia?;5.500.000 km² (2.100.000 milhas quadradas)
Quantas nações controlam esta região no total?;nove nações
Quantos estados ou departamentos de quais nações contêm "Amazonas" em seus nomes?;quatro
Qual é a área da floresta amazônica em relação à superfície do planeta?;mais de 5,5 milhões de km² (2,1 milhões de milhas quadradas)
Quantas espécies de árvores podem ser encontradas na floresta amazônica?;apenas 16.000
Quantos indivíduos diferentes de árvores existem na Amazônia?;cerca de 390 bilhões de indivíduos
Quantas espécies animais são estimadas vivendo na Amazônia?;aproximadamente 2,5 milhões
Quantos povos indígenas vivem na Amazônia?;mais de 300 grupos étnicos
Qual porcentagem da população mundial vive na Amazônia?;menos de 1%
