pergunta;resposta
Quem descobriu o oxigénio e por que Joseph Priestley é creditado?;Joseph Priestley é creditado por ter sido o primeiro a publicar os resultados, apesar de Carl Wilhelm Scheele também ter descoberto Independemente.
Qual é a forma molecular do oxigénio em condições normais?;O₂
Em qual grupo da tabela periódica o oxigénio se encontra?;Grupo dos calcogénios (grande Grupo 16)
Qual indústria utiliza oxigénio líquido para corte de metais?;Indústria metalúrgica
Por que o oxigénio recebeu seu nome?;Devido à crença de que era um agente essencial na formação de ácidos.
Qual porcentagem do ar terrestre é composta por oxigénio?;20,8%
Qual posição o oxigénio ocupa em termos de eletronegatividade?;Segunda posição, atrás apenas do flúor.
O que é conhecido como toxicidade por oxigénio excessivo?;Toxicidade do oxigénio
Qual outro cientista além de Priestley e Scheele contribuiu para a compreensão do oxigénio?;Antoine Lavoisier
Onde o oxigénio é usado em sistemas de suporte à vida?;Em aeronaves, submarinos e naves espaciais.
