```csv
pergunta;resposta
Quando foi fundada a Universidade Harvard?;1636
Qual era o nome original da Universidade Harvard?;Harvard College
Onde está localizada a Universidade Harvard?;Cambridge, Massachusetts
Quantos acres possui o campus principal de Harvard em Cambridge?;209
Qual é o tamanho do patrimônio de Harvard University?;$50.9 bilhões
Qual instituição oferece programas acadêmicos na Universidade Harvard além das Faculdades de Artes e Ciências?;Harvard Radcliffe Institute
Quantos prédios fazem parte da Biblioteca de Harvard?;79
Quem foi o primeiro benfeitor de Harvard University?;John Harvard
Quantas vezes os alunos e ex-alunos de Harvard ganharam a medalha de ouro olímpica?;46
Qual é a posição do patrimônio por estudante de Harvard nos EUA?;quinto maior
```
