pergunta;resposta
O que define um número primo?;Um número primo é um número natural maior que 1 que não possui divisores positivos além de 1 e ele mesmo.
Qual é o menor número primo?;O menor número primo é 2.
Por que o número 2 é o único número primo par?;Porque todos os outros números pares são divisíveis por 2, tornando-os não primos.
Como são chamados os números que não são primos?;Eles são chamados de números compostos.
Quantos números primos existem?;Existem infinitos números primos.
Qual é a principal aplicação dos números primos na criptografia?;Eles são usados para gerar chaves em algoritmos como o RSA, que depende da dificuldade de fatorar números grandes.
Quem provou que existem infinitos números primos?;Euclides, na sua obra 'Elementos'.
O que caracteriza um número de Mersenne?;Um número de Mersenne é um número primo da forma $2^n - 1$, onde $n$ também é um número primo.
Qual é o maior número primo conhecido até o momento?;O maior número primo conhecido é um número de Mersenne com mais de 24 milhões de dígitos.
Por que os números primos são considerados fundamentais na teoria dos números?;Porque todo número inteiro maior que 1 pode ser expresso de forma única como um produto de números primos (teorema fundamental da aritmética).
