pergunta;resposta
Quem morreu em Warsaw?;Stanisław Mazur
Quando Stanisław Mazur morreu?;Não especificado no contexto fornecido.
Onde nasceu Władysław Zieliński?;Warsaw
Em que ano Władysław Zieliński nasceu?;Não especificado no contexto fornecido.
Quem morreu em Warsaw, sendo um poeta e escritor?;Zygmunt Chmielewski
Onde se localiza a Coluna de Sigismundo?;Warsaw
Quando Weronika Kordowiecka nasceu?;Não especificado no contexto fornecido.
Quem morreu em Warsaw, sendo um jornalista?;Daniel Singer
Em que ano ocorreu a Rodada 3 do Davis Cup de 1990 em Warsaw?;Não especificado no contexto fornecido.
Onde se encontra o Ministry of State Treasury (Poland)?;Warsaw
Quando Ida Nowakowska nasceu?;Não especificado no contexto fornecido.
