pergunta;resposta
A crise petrolífera de 1973 começou quando os membros da OPAEP proclamaram um embargo petrolífero em que mês?;outubro de 1973
O embargo petrolífero foi direcionado a países que eram vistos como apoiadores de qual nação durante a Guerra do Yom Kippur?;Israel
Qual foi o preço do petróleo antes da crise em US$ por barril?;US$ 3
Quando terminou o embargo petrolífero imposto pela OPAEP?;março de 1974
Quantas vezes subiu o preço do petróleo no mundo inteiro até ao fim do embargo?;quatro vezes
Qual foi a primeira crise petrolífera chamada de "primeiro choque do petróleo"?;crise petrolífera de 1973
O que aconteceu em 1979 relacionado com o petróleo, após a crise de 1973?;crise do petróleo de 1979
Quais foram os países inicialmente alvo do embargo petrolífero da OPAEP?;Canadá, Japão, Holanda, Reino Unido e Estados Unidos
O que foi usado para justificar o embargo contra Portugal, Rodésia e África do Sul além dos inicialmente afetados pela crise de petróleo em 1973?;políticas pró-Israel
Qual evento desencadeou a crise petrolífera de 1973 na região árabe?;Guerra do Yom Kippur
