pergunta;resposta
Qual é o fluido de trabalho utilizado nas máquinas a vapor?;vapor de água sob alta pressão e temperatura
Qual princípio físico é base para o funcionamento da turbina a vapor?;expansão do vapor
Qual inventor é creditado com a criação do primeiro motor a vapor comercialmente bem-sucedido?;Thomas Newcomen
Em que tipo de geração de energia as máquinas a vapor ainda são amplamente utilizadas atualmente?;reatores nucleares
Qual categoria de energia a máquina a vapor converte em energia mecânica?;energia térmica
Qual é o exemplo de embarcação listado que utiliza motor a vapor como propulsão?;USS Ashuelot
Qual lei da termodinâmica é fundamental para o funcionamento de máquinas térmicas como o motor a vapor?;leis da termodinâmica
Que tipo de combustão é característico dos motores a vapor?;combustão externa
Qual é a principal diferença entre o motor a vapor e o motor de combustão interna?;o motor a vapor utiliza combustão externa
Qual é o nome da imagem técnica associada ao diagrama do ciclo do motor a vapor?;diagrama indicador
