pergunta;resposta
Everett Mendelsohn possui alma mater Harvard University;Everett Mendelsohn pertence à instituição Harvard University
David Edwards (engineer) possui locais de trabalho Harvard University;David Edwards (engineer) possui locais de trabalho Harvard University
Jyotiraditya Scindia possui alma mater Harvard University;Jyotiraditya Scindia possui alma mater Harvard University
Bobby Scott (politician) foi educado em Harvard University;Bobby Scott (politician) foi educado em Harvard University
Eileen Donahoe possui alma mater Harvard University;Eileen Donahoe possui alma mater Harvard University
Frank B. Livingstone possui alma mater Harvard University;Frank B. Livingstone possui alma mater Harvard University
Henry Barnard Kümmel possui alma mater Harvard University;Henry Barnard Kümmel possui alma mater Harvard University
Ryan Williams (entrepreneur) possui alma mater Harvard University;Ryan Williams (entrepreneur) possui alma mater Harvard University
James Cullen Martin possui alma mater Harvard University;James Cullen Martin possui alma mater Harvard University
Richard Holden (economist) possui alma mater Harvard University;Richard Holden (economist) possui alma mater Harvard University
Alfred Jaretzki III possui alma mater Harvard University;Alfred Jaretzki III possui alma mater Harvard University
